Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/755/095/GCA_900755095.1_genomic.fna.gz	2.9358	2.7520	99.11	284.000	NA-NA	HIGH	NA-NA	284	292.532	11769/15512	99.11	367	CAAEFE010000001.1 TPA_asm: uncultured Bacteroides sp., isolate HGM04659, WGS project CAAEFE010000000 data, contig: ERS473029_19_k99_64, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/293/635/GCF_003293635.1_genomic.fna.gz	2.8634	2.1171	98.94	277.000	NA-NA	HIGH	NA-NA	277	257.633	8641/12018	98.94	437	NZ_CP026548.1 Faecalibacterium prausnitzii strain 942/30-2 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/018/408/575/GCF_018408575.1_genomic.fna.gz	2.2018	1.4693	97.84	213.000	NA-NA	HIGH	NA-NA	213	205.330	5424/10670	97.84	939	NZ_AP023418.1 Oscillibacter sp. MM50 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/010/425/GCF_000010425.1_genomic.fna.gz	2.0881	1.1384	98.84	202.000	NA-NA	HIGH	NA-NA	202	197.851	6220/8919	98.84	419	NC_008618.1 Bifidobacterium adolescentis ATCC 15703, complete sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/544/375/GCA_900544375.1_genomic.fna.gz	1.8917	1.2149	99.61	183.000	NA-NA	HIGH	NA-NA	183	183.618	9439/10661	99.61	3	UQUZ01000001.1 uncultured Ruminococcaceae bacterium isolate UMGS668 genome assembly, contig: NODE_82_length_151150_cov_5.108342, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/015/557/635/GCF_015557635.1_genomic.fna.gz	1.8194	1.7066	99.04	176.000	NA-NA	HIGH	NA-NA	176	182.050	11496/15484	99.04	913	NZ_JADNOP010000010.1 Fusicatenibacter saccharivorans strain D41t1_190614_C8 NODE_10_length_148788_cov_71.1435, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/900/167/555/GCF_900167555.1_genomic.fna.gz	1.7160	1.4513	97.94	166.000	NA-NA	HIGH	NA-NA	166	161.039	7031/13412	97.94	817	NZ_FUYF01000092.1 Gemmiger formicilis strain ATCC 27749, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/001/025/215/GCF_001025215.1_genomic.fna.gz	1.6023	0.9672	99.19	155.000	NA-NA	HIGH	NA-NA	155	163.634	7525/9671	99.19	12	NZ_AP012330.1 Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 strain JCM 1200 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/760/795/GCA_900760795.1_genomic.fna.gz	1.5506	1.6631	99.44	150.000	NA-NA	HIGH	NA-NA	150	242.152	14864/17696	99.44	25	CAAFAI010000001.1 TPA_asm: Bacteroidaceae bacterium, isolate HGM04771, WGS project CAAFAI010000000 data, contig: SRS021948_34_k99_167, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/002/222/615/GCF_002222615.2_genomic.fna.gz	1.5299	1.8245	99.28	148.000	NA-NA	HIGH	NA-NA	148	161.959	15676/19603	99.28	87	NZ_CP022412.2 Bacteroides caccae strain ATCC 43185 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/584/705/GCA_003584705.1_genomic.fna.gz	1.4989	1.5950	98.53	145.000	NA-NA	HIGH	NA-NA	145	131.678	10868/17205	98.53	1346	AP018536.1 Lachnospiraceae bacterium GAM79 DNA, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/010/509/575/GCF_010509575.1_genomic.fna.gz	1.4679	1.1882	98.15	142.000	NA-NA	HIGH	NA-NA	142	137.206	7274/12970	98.15	1849	NZ_CP048437.1 Faecalibacterium prausnitzii A2-165 strain JCM 31915 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/765/235/GCF_000765235.1_genomic.fna.gz	1.4472	1.0307	97.35	140.000	NA-NA	HIGH	NA-NA	140	130.542	5119/11788	97.35	797	NZ_JPJG01000001.1 Oscillibacter sp. ER4 contig_1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/001/487/165/GCF_001487165.1_genomic.fna.gz	1.3128	1.2733	99.18	127.000	NA-NA	HIGH	NA-NA	127	121.332	12237/15776	99.18	806	NZ_LN913002.1 Blautia massiliensis strain GD8, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/002/549/755/GCF_002549755.1_genomic.fna.gz	1.2611	1.0014	97.53	122.000	NA-NA	HIGH	NA-NA	122	121.430	5935/12900	97.53	2920	NZ_NMTQ01000035.1 Faecalibacterium prausnitzii strain CNCM I 4540 NODE_10_length_128508_cov_29.8283_ID_2898, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/105/GCF_000154105.1_genomic.fna.gz	1.2301	1.4232	98.99	119.000	NA-NA	HIGH	NA-NA	119	148.658	13557/18580	98.99	585	NZ_DS264552.1 Parabacteroides merdae ATCC 43184 Scfld0292, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/153/885/GCF_000153885.1_genomic.fna.gz	1.1164	0.8362	98.24	108.000	NA-NA	HIGH	NA-NA	108	107.437	6841/11846	98.24	683	NZ_DS264288.1 Eubacterium ventriosum ATCC 27560 Scfld0226, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/009/680/455/GCF_009680455.1_genomic.fna.gz	1.0441	0.8235	98.49	101.000	NA-NA	HIGH	NA-NA	101	103.510	8196/13152	98.49	831	NZ_WKRD01000010.1 Lachnospira eligens strain BIOML-A1 scaffold10_size99411, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/432/375/GCA_000432375.1_genomic.fna.gz	0.9820	0.4814	98.66	95.000	NA-NA	HIGH	NA-NA	95	95.196	5345/8123	98.66	65	HF985662.1 Firmicutes bacterium CAG:103 genomic scaffold, scf1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/324/185/GCF_003324185.1_genomic.fna.gz	0.9614	0.7603	97.25	93.000	NA-NA	HIGH	NA-NA	93	103.489	5528/13101	97.25	2037	NZ_PXUP01000075.1 Faecalibacterium prausnitzii strain ATCC 27768 NODE_100_length_572_cov_365.695, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/481/005/GCA_003481005.1_genomic.fna.gz	0.8683	0.7983	98.39	84.000	NA-NA	HIGH	NA-NA	84	82.990	9160/15166	98.39	1340	QUKC01000001.1 Firmicutes bacterium TM09-10 TM09-10.Scaf1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/011/065/GCF_000011065.1_genomic.fna.gz	0.8166	1.3409	97.72	79.000	NA-NA	HIGH	NA-NA	79	86.971	13068/26733	97.72	3189	NC_004663.1 Bacteroides thetaiotaomicron VPI-5482, complete sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/112/995/GCA_900112995.1_genomic.fna.gz	0.7650	0.5623	99.24	74.000	NA-NA	HIGH	NA-NA	74	82.058	9604/12183	99.24	251	FONU01000049.1 Lactobacillus rogosae strain ATCC 27753 genome assembly, contig: Ga0052885_scaffold00047.47, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/006/542/665/GCF_006542665.1_genomic.fna.gz	0.6926	0.5966	98.74	67.000	NA-NA	HIGH	NA-NA	67	76.859	9618/14233	98.74	313	NZ_AP019735.1 Alistipes communis strain 5CBH24 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/905/216/045/GCA_905216045.1_genomic.fna.gz	0.6306	0.3326	97.65	61.000	NA-NA	HIGH	NA-NA	61	59.599	4237/8867	97.65	82	CAJMSL010000001.1 TPA_asm: uncultured bacterium isolate SRR5558281-bin.11 genome assembly, contig: NODE_262_length_51814_cov_4.103524, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/382/445/GCF_000382445.1_genomic.fna.gz	0.5996	0.7268	96.97	58.000	NA-NA	HIGH	NA-NA	58	233.689	7320/18994	96.97	7515	NZ_KB905472.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain DSM 17679 aczJl-supercont1.1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/018/847/375/GCF_018847375.1_genomic.fna.gz	0.5892	0.4687	99.09	57.000	NA-NA	HIGH	NA-NA	57	57.264	9825/13064	99.09	1	NZ_CP072036.1 Akkermansia muciniphila strain Akk1573 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/014/287/955/GCF_014287955.1_genomic.fna.gz	0.5892	0.4515	98.99	57.000	NA-NA	HIGH	NA-NA	57	66.426	9318/12750	98.99	482	NZ_JACOPD010000001.1 Lachnospira sp. NSJ-43 M7_ctg0001, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/332/875/GCF_000332875.2_genomic.fna.gz	0.5789	0.4187	99.61	56.000	NA-NA	HIGH	NA-NA	56	68.301	10837/12238	99.61	7	NZ_KB290627.1 Anaerostipes hadrus DSM 3319 Scfld0, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/991/565/GCF_003991565.1_genomic.fna.gz	0.5789	0.7516	98.30	56.000	NA-NA	HIGH	NA-NA	56	99.398	12010/20425	98.30	599	NZ_CP032819.1 Butyricimonas faecalis strain H184 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/547/855/GCA_900547855.1_genomic.fna.gz	0.5789	0.2844	95.16	56.000	NA-NA	HIGH	NA-NA	56	53.721	1745/8136	95.16	2128	URIK01000001.1 uncultured Collinsella sp. isolate UMGS1030 genome assembly, contig: NODE_64_length_51109_cov_5.524836, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/025/985/GCF_000025985.1_genomic.fna.gz	0.5582	0.7634	99.12	54.000	NA-NA	HIGH	NA-NA	54	61.629	17029/22430	99.12	162	NC_003228.3 Bacteroides fragilis NCTC 9343, complete sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/484/655/GCF_000484655.1_genomic.fna.gz	0.5375	0.6323	99.14	52.000	NA-NA	HIGH	NA-NA	52	76.849	14570/19066	99.14	1185	NZ_AXVN01000001.1 Blautia wexlerae DSM 19850 K316DRAFT_scaffold00001.1_C, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/477/605/GCF_003477605.1_genomic.fna.gz	0.5272	0.4275	97.77	51.000	NA-NA	HIGH	NA-NA	51	52.172	6677/13453	97.77	433	NZ_QUDR01000001.1 Clostridium sp. AF37-5 AF37-5.Scaf1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/902/363/685/GCA_902363685.1_genomic.fna.gz	0.5065	0.4678	98.16	49.000	NA-NA	HIGH	NA-NA	49	52.119	8450/15010	98.16	1746	CABJBG010000001.1 Ruminococcaceae bacterium isolate MGYG-HGUT-00140 genome assembly, contig: .21673_4_37.1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/701/705/GCF_000701705.1_genomic.fna.gz	0.4962	0.5994	98.81	48.000	NA-NA	HIGH	NA-NA	48	49.375	13618/19755	98.81	12	NZ_JNJP01000001.1 Bilophila wadsworthia ATCC 49260 T370DRAFT_scaffold00001.1_C, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/009/695/545/GCF_009695545.1_genomic.fna.gz	0.4962	0.7178	98.86	48.000	NA-NA	HIGH	NA-NA	48	48.216	16694/23806	98.86	59	NZ_VUNS01000001.1 Victivallis lenta strain BBE-744-WT-12 seq1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/190/535/GCF_000190535.1_genomic.fna.gz	0.4859	0.5568	98.67	47.000	NA-NA	HIGH	NA-NA	47	54.493	12218/18480	98.67	147	NC_015160.1 Odoribacter splanchnicus DSM 20712, complete sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/900/209/925/GCF_900209925.1_genomic.fna.gz	0.4238	0.3888	97.21	41.000	NA-NA	HIGH	NA-NA	41	43.157	6026/14496	97.21	2033	NZ_LT907978.1 Anaerobutyricum hallii isolate EH1 chromosome I
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/481/705/GCF_003481705.1_genomic.fna.gz	0.3618	0.2720	96.72	35.000	NA-NA	HIGH	NA-NA	35	37.828	4332/12190	96.72	1175	NZ_QULN01000001.1 Butyricicoccus sp. OM04-18BH OM04-18BH.Scaf1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/478/935/GCA_003478935.1_genomic.fna.gz	0.3205	0.3442	97.61	31.000	NA-NA	HIGH	NA-NA	31	30.329	8259/17495	97.61	1329	QUFP01000001.1 Firmicutes bacterium AF25-13AC AF25-13AC.Scaf1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/016/908/695/GCF_016908695.1_genomic.fna.gz	0.3205	0.3766	98.97	31.000	NA-NA	HIGH	NA-NA	31	53.847	13904/19156	98.97	1480	NZ_JAFBEJ010000001.1 Blautia faecis strain DSM 27629 Ga0454052_01, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/024/675/GCF_003024675.1_genomic.fna.gz	0.3101	0.2044	99.35	30.000	NA-NA	HIGH	NA-NA	30	35.934	8682/10625	99.35	79	NZ_PYLP01000001.1 Faecalibacillus faecis strain SNUG30370 scaffold_0, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/265/365/GCF_000265365.1_genomic.fna.gz	0.2894	0.2820	97.55	28.000	NA-NA	HIGH	NA-NA	28	27.092	7121/15352	97.55	1003	NC_018011.1 Alistipes finegoldii DSM 17242, complete sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/478/035/GCF_003478035.1_genomic.fna.gz	0.2894	0.2713	99.30	28.000	NA-NA	HIGH	NA-NA	28	26.816	12372/15363	99.30	429	NZ_QUEP01000001.1 Clostridium sp. OF03-18AA OF03-18AA.Scaf1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/481/745/GCA_003481745.1_genomic.fna.gz	0.2791	0.2448	98.16	27.000	NA-NA	HIGH	NA-NA	27	27.249	8030/14294	98.16	1527	QULP01000001.1 Firmicutes bacterium OM04-13BH OM04-13BH.Scaf1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/549/055/GCA_900549055.1_genomic.fna.gz	0.2791	0.1509	97.86	27.000	NA-NA	HIGH	NA-NA	27	27.452	4531/8860	97.86	23	URNB01000001.1 uncultured Ruminococcaceae bacterium isolate UMGS1148 genome assembly, contig: NODE_125_length_90205_cov_5.447965, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/024/715/GCF_003024715.1_genomic.fna.gz	0.2791	0.2386	98.01	27.000	NA-NA	HIGH	NA-NA	27	25.142	7478/13933	98.01	1636	NZ_PYLO01000001.1 Clostridium fessum strain SNUG30386 scaffold_0, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/900/537/995/GCF_900537995.1_genomic.fna.gz	0.2791	0.3272	98.87	27.000	NA-NA	HIGH	NA-NA	27	24.690	12971/18464	98.87	1035	NZ_LR027880.1 Roseburia intestinalis L1-82 chromosome 1, complete sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/321/205/GCF_000321205.1_genomic.fna.gz	0.2584	0.1870	98.65	25.000	NA-NA	HIGH	NA-NA	25	25.063	7906/12064	98.65	55	NZ_CAPH01000060.1 Alistipes ihumii AP11, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/196/555/GCF_000196555.1_genomic.fna.gz	0.2584	0.1608	99.11	25.000	NA-NA	HIGH	NA-NA	25	24.587	7576/9990	99.11	93	NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217, complete sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/001/304/995/GCA_001304995.1_genomic.fna.gz	0.2584	0.1839	98.99	25.000	NA-NA	HIGH	NA-NA	25	25.132	8622/11807	98.99	203	BBZU01000001.1 Clostridia bacterium UC5.1-1D10 DNA, contig: contig00001, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/065/GCF_000154065.1_genomic.fna.gz	0.2481	0.1887	98.90	24.000	NA-NA	HIGH	NA-NA	24	25.048	8793/12400	98.90	622	NZ_DS264419.1 Dorea longicatena DSM 13814 Scfld0235, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/024/685/GCF_003024685.1_genomic.fna.gz	0.2378	0.1733	98.55	23.000	NA-NA	HIGH	NA-NA	23	19.514	7485/11774	98.55	1556	NZ_PYLQ01000001.1 Faecalibacillus intestinalis strain SNUG30099 scaffold_0, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/005/121/165/GCF_005121165.2_genomic.fna.gz	0.2378	0.2218	99.54	23.000	NA-NA	HIGH	NA-NA	23	20.494	13077/15084	99.54	155	NZ_CP034413.2 Dysosmobacter welbionis strain J115 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/150/515/GCA_003150515.1_genomic.fna.gz	0.2378	0.1103	99.96	23.000	NA-NA	HIGH	NA-NA	23	23.041	7167/7246	99.96	0	QALW01000053.1 Selenomonadales bacterium isolate CIM:MAG 469 contig_104, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/461/245/GCF_003461245.1_genomic.fna.gz	0.2378	0.2507	98.99	23.000	NA-NA	HIGH	NA-NA	23	22.194	12577/17210	98.99	1563	NZ_QTWS01000001.1 Blautia sp. AF19-10LB AF19-10LB.Scaf1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/001/312/505/GCA_001312505.1_genomic.fna.gz	0.2274	0.1934	98.07	22.000	NA-NA	HIGH	NA-NA	22	21.408	7645/13972	98.07	1714	BBDW01000001.1 Ruminococcus faecis JCM 15917 DNA, contig: JCM15917.contig00001, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/007/164/725/GCF_007164725.1_genomic.fna.gz	0.2171	0.1364	99.27	21.000	NA-NA	HIGH	NA-NA	21	21.237	7361/9239	99.27	0	NZ_AP019697.1 Dialister hominis strain 5BBH33 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/018/228/645/GCA_018228645.1_genomic.fna.gz	0.2067	0.1791	98.63	20.000	NA-NA	HIGH	NA-NA	20	18.906	9192/14081	98.63	917	CP073693.1 Clostridiaceae bacterium Marseille-Q4143 chromosome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/324/125/GCF_003324125.1_genomic.fna.gz	0.2067	0.1893	98.54	20.000	NA-NA	HIGH	NA-NA	20	17.832	9419/14874	98.54	877	NZ_PSQF01000100.1 Subdoligranulum sp. APC924/74 NODE_100_length_8871_cov_1193.02, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/525/905/GCA_003525905.1_genomic.fna.gz	0.2067	0.1184	98.13	20.000	NA-NA	HIGH	NA-NA	20	19.243	5223/9364	98.13	113	DQIA01000017.1 MAG TPA_asm: Clostridiales bacterium isolate UBA10758 contig_10012, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/001/404/875/GCF_001404875.1_genomic.fna.gz	0.2067	0.1840	97.50	20.000	NA-NA	HIGH	NA-NA	20	19.219	6672/14630	97.50	3636	NZ_CZAY01000001.1 Dorea longicatena strain 2789STDY5834914, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/169/235/GCF_000169235.1_genomic.fna.gz	0.2067	0.1719	98.30	20.000	NA-NA	HIGH	NA-NA	20	19.775	7885/13425	98.30	1688	NZ_AAXA02000016.1 Dorea formicigenerans ATCC 27755 D_formicigenerans-3.0.1_Cont400, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/402/575/GCF_003402575.1_genomic.fna.gz	0.1964	0.1344	99.52	19.000	NA-NA	HIGH	NA-NA	19	18.832	8575/9969	99.52	3	NZ_BGZJ01000001.1 Mesosutterella multiformis strain 4NBBH2 sequence1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/902/363/425/GCA_902363425.1_genomic.fna.gz	0.1964	0.1719	99.06	19.000	NA-NA	HIGH	NA-NA	19	18.583	10799/14459	99.06	391	CABJAA010000001.1 Bacteroidales bacterium isolate MGYG-HGUT-00117 genome assembly, contig: .20298_3_30.1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/904/395/335/GCF_904395335.1_genomic.fna.gz	0.1861	0.1190	98.35	18.000	NA-NA	HIGH	NA-NA	18	18.261	6406/10728	98.35	34	NZ_CAJFNR010000001.1 Candidatus Avimonas narfia isolate Coassembly_mag_196, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/018/785/175/GCF_018785175.1_genomic.fna.gz	0.1861	0.1734	98.52	18.000	NA-NA	HIGH	NA-NA	18	17.080	9689/15367	98.52	1567	NZ_WQPI01000085.1 Coprococcus catus strain MCC395 NODE_100_length_378_cov_57.769840, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/435/375/GCF_003435375.1_genomic.fna.gz	0.1757	0.1720	98.12	17.000	NA-NA	HIGH	NA-NA	17	15.055	8910/16043	98.12	3171	NZ_QWGL01000001.1 Clostridium sp. AM34-11AC AM34-11AC.Scaf1, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/153/905/GCF_000153905.1_genomic.fna.gz	0.1654	0.1564	99.34	16.000	NA-NA	HIGH	NA-NA	16	13.644	12376/15176	99.34	322	NZ_DS264342.1 Blautia obeum ATCC 29174 Scfld0253, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/469/345/GCF_000469345.1_genomic.fna.gz	0.1654	0.1488	98.33	16.000	NA-NA	HIGH	NA-NA	16	15.688	8772/14800	98.33	1120	NZ_KI271072.1 Eubacterium ramulus ATCC 29099 Scaffold1027, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/756/575/GCA_900756575.1_genomic.fna.gz	0.1551	0.1146	97.96	15.000	NA-NA	HIGH	NA-NA	15	14.664	6470/12258	97.96	477	CAAEKQ010000001.1 TPA_asm: uncultured Oscillospiraceae bacterium, isolate HGM12964, WGS project CAAEKQ010000000 data, contig: ERS537209_40_k99_1198, whole genome shotgun sequence
