Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/545/705/GCA_900545705.1_genomic.fna.gz	1.3813	1.1685	98.89	21.000	NA-NA	HIGH	NA-NA	21	21.739	7064/9987	98.89	0	URAK01000001.1 uncultured Opitutales bacterium isolate UMGS811 genome assembly, contig: NODE_3_length_298049_cov_12.002644, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/539/465/GCA_900539465.1_genomic.fna.gz	1.3813	1.1222	98.66	21.000	NA-NA	HIGH	NA-NA	21	21.320	6348/9645	98.66	10	UQCF01000001.1 uncultured Ruminococcus sp. isolate UMGS136 genome assembly, contig: NODE_2_length_318414_cov_60.912991, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/004/556/395/GCA_004556395.1_genomic.fna.gz	1.1839	1.3170	98.84	18.000	NA-NA	HIGH	NA-NA	18	17.784	8966/12853	98.84	33	SFHK01000039.1 MAG: Clostridiales bacterium isolate W1P1.020 Contig1031, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/539/515/GCA_003539515.1_genomic.fna.gz	1.1839	0.6571	97.72	18.000	NA-NA	HIGH	NA-NA	18	18.391	3218/6583	97.72	18	DPOZ01000003.1 MAG TPA_asm: Clostridiales bacterium isolate UBA11500 contig_369, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/435/335/GCA_000435335.1_genomic.fna.gz	1.1182	0.8669	98.37	17.000	NA-NA	HIGH	NA-NA	17	17.755	5512/9165	98.37	26	FR891296.1 Clostridium sp. CAG:964 genomic scaffold, scf24, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/902/363/145/GCA_902363145.1_genomic.fna.gz	1.1182	1.2536	98.54	17.000	NA-NA	HIGH	NA-NA	17	17.299	8286/13077	98.54	277	CABIZB010000001.1 Ruminococcaceae bacterium isolate MGYG-HGUT-00089 genome assembly, contig: .20287_6_22.1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/014/288/065/GCF_014288065.1_genomic.fna.gz	1.1182	1.0004	97.71	17.000	NA-NA	HIGH	NA-NA	17	17.112	5123/10512	97.71	494	NZ_JACOPS010000001.1 Ruminococcus sp. NSJ-71 M23_ctg001, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/553/805/GCA_900553805.1_genomic.fna.gz	0.9240	0.6958	99.08	14.049	NA-NA	HIGH	NA-NA	14	14.049	6655/8872	99.08	17	USEU01000001.1 uncultured Clostridiales bacterium isolate UMGS1651 genome assembly, contig: NODE_58_length_127987_cov_18.148086, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/434/435/GCA_000434435.1_genomic.fna.gz	0.8631	0.4742	98.42	13.123	NA-NA	HIGH	NA-NA	13	13.123	3892/6378	98.42	5	FR895494.1 Firmicutes bacterium CAG:475 genomic scaffold, scf1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/768/515/GCA_900768515.1_genomic.fna.gz	0.7947	0.8934	99.42	12.082	NA-NA	HIGH	NA-NA	12	12.082	11089/13298	99.42	0	CAAGDG010000001.1 TPA_asm: Lentisphaeria bacterium, isolate HGM23476, WGS project CAAGDG010000000 data, contig: SRS476144_153_k119_5009, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/546/065/GCA_900546065.1_genomic.fna.gz	0.7854	0.7376	98.29	11.940	NA-NA	HIGH	NA-NA	12	11.940	6541/11171	98.29	93	URBK01000001.1 uncultured Alistipes sp. isolate UMGS840 genome assembly, contig: NODE_13_length_219166_cov_6.314325, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/008/121/495/GCF_008121495.1_genomic.fna.gz	0.7153	0.9333	98.68	10.876	NA-NA	HIGH	NA-NA	11	10.876	9908/14950	98.68	200	NZ_CP043051.1 [Ruminococcus] gnavus ATCC 29149 strain JCM6515 chromosome, complete genome
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/548/615/GCA_900548615.1_genomic.fna.gz	0.7121	0.5392	98.77	10.826	NA-NA	HIGH	NA-NA	11	10.826	5988/8776	98.77	366	URKW01000001.1 uncultured Clostridiales bacterium isolate UMGS1099 genome assembly, contig: NODE_242_length_62560_cov_9.486937, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/553/225/GCA_900553225.1_genomic.fna.gz	0.5862	0.3074	98.83	8.913	NA-NA	HIGH	NA-NA	9	8.913	4309/6210	98.83	2	USCV01000001.1 uncultured Clostridium sp. isolate UMGS1594 genome assembly, contig: NODE_43_length_85661_cov_19.319662, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/436/335/GCA_000436335.1_genomic.fna.gz	0.5633	0.3924	97.70	8.565	NA-NA	HIGH	NA-NA	8	8.565	4001/8221	97.70	66	FR885331.1 Clostridium sp. CAG:217 genomic scaffold, scf3, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/002/404/795/GCA_002404795.1_genomic.fna.gz	0.5524	0.4463	96.34	8.398	NA-NA	HIGH	NA-NA	8	8.398	2995/9504	96.34	512	DHKK01000146.1 MAG TPA_asm: Clostridiales bacterium UBA4696 UBA4696_contig_1000, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/210/575/GCF_000210575.1_genomic.fna.gz	0.5414	0.7482	98.87	8.231	NA-NA	HIGH	NA-NA	8	8.231	10975/15601	98.87	943	NC_021030.1 Alistipes shahii WAL 8301, complete sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/010/509/575/GCF_010509575.1_genomic.fna.gz	0.4759	0.5423	97.75	7.236	NA-NA	HIGH	NA-NA	7	7.236	6398/12970	97.75	1577	NZ_CP048437.1 Faecalibacterium prausnitzii A2-165 strain JCM 31915 chromosome, complete genome
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/018/918/025/GCF_018918025.1_genomic.fna.gz	0.4696	0.4663	97.96	7.140	NA-NA	HIGH	NA-NA	7	7.140	6061/11498	97.96	508	NZ_JAHLPT010000001.1 Oscillibacter sp. MSJ-31 M31_ctg0001, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/104/605/GCA_900104605.1_genomic.fna.gz	0.4687	0.4114	99.11	7.126	NA-NA	HIGH	NA-NA	7	7.126	7661/10096	99.11	13	LT629953.1 Alistipes sp. Marseille-P3084 strain Marseille-P3084T genome assembly, scaffold: scaffold00001, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/155/815/GCF_000155815.1_genomic.fna.gz	0.4652	0.7171	98.78	7.073	NA-NA	HIGH	NA-NA	7	7.073	12328/18025	98.78	556	NZ_DS995527.1 Bacteroides eggerthii DSM 20697 Scfld432, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/765/235/GCF_000765235.1_genomic.fna.gz	0.4625	0.4636	97.41	7.031	NA-NA	HIGH	NA-NA	7	7.031	5229/11788	97.41	1292	NZ_JPJG01000001.1 Oscillibacter sp. ER4 contig_1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/002/252/585/GCF_002252585.1_genomic.fna.gz	0.4535	0.3208	99.21	6.894	NA-NA	HIGH	NA-NA	7	6.894	6276/8032	99.21	0	NZ_NQLD01000012.1 Methanobrevibacter smithii strain WWM1085 Contig_1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/293/635/GCF_003293635.1_genomic.fna.gz	0.4379	0.4557	98.26	6.658	NA-NA	HIGH	NA-NA	6	6.658	6965/12018	98.26	934	NZ_CP026548.1 Faecalibacterium prausnitzii strain 942/30-2 chromosome, complete genome
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/545/015/GCA_900545015.1_genomic.fna.gz	0.4323	0.2471	97.86	6.572	NA-NA	HIGH	NA-NA	6	6.572	3394/6639	97.86	6	UQXJ01000001.1 uncultured Mollicutes bacterium isolate UMGS732 genome assembly, contig: NODE_15_length_113055_cov_31.514628, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/205/GCF_000154205.1_genomic.fna.gz	0.3948	0.6843	99.24	6.003	NA-NA	HIGH	NA-NA	6	6.003	15555/19703	99.24	413	NZ_DS362249.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_32, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/546/415/GCA_900546415.1_genomic.fna.gz	0.3893	0.2637	98.50	5.919	NA-NA	HIGH	NA-NA	6	5.919	5004/7992	98.50	125	URCY01000001.1 uncultured Clostridiales bacterium isolate UMGS883 genome assembly, contig: NODE_34_length_100409_cov_17.685334, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/013/009/555/GCF_013009555.1_genomic.fna.gz	0.3875	0.8006	99.18	5.891	NA-NA	HIGH	NA-NA	6	5.891	18212/23489	99.18	367	NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/435/555/GCA_000435555.1_genomic.fna.gz	0.3868	0.2261	98.91	5.881	NA-NA	HIGH	NA-NA	6	5.881	4881/6846	98.91	165	FR881491.1 Firmicutes bacterium CAG:176 genomic scaffold, scf4, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/014/297/285/GCF_014297285.1_genomic.fna.gz	0.3614	0.4872	98.20	5.495	NA-NA	HIGH	NA-NA	5	5.495	8780/15406	98.20	1008	NZ_JACOQI010000001.1 Dysosmobacter sp. BX15 BX-15_ctg0001, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/012/843/875/GCF_012843875.1_genomic.fna.gz	0.3482	0.3665	98.44	5.295	NA-NA	HIGH	NA-NA	5	5.295	7527/12259	98.44	31	NZ_JABAFY010000001.1 Desulfovibrio piger strain PG-251-APC-1 Contig_1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/002/550/035/GCF_002550035.1_genomic.fna.gz	0.3409	0.3781	97.05	5.184	NA-NA	HIGH	NA-NA	5	5.184	5115/12940	97.05	2016	NZ_NOUV01000001.1 Faecalibacterium prausnitzii strain AHMP21 AHMP21_contig_1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/154/325/GCA_000154325.1_genomic.fna.gz	0.3404	0.3372	97.39	5.176	NA-NA	HIGH	NA-NA	5	5.176	5005/11351	97.39	112	DS499551.1 Eubacterium siraeum DSM 15702 Scfld_03_43 genomic scaffold, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/190/535/GCF_000190535.1_genomic.fna.gz	0.3381	0.5453	99.49	5.140	NA-NA	HIGH	NA-NA	5	5.140	15759/18480	99.49	5	NC_015160.1 Odoribacter splanchnicus DSM 20712, complete sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/009/695/995/GCF_009695995.1_genomic.fna.gz	0.3375	0.3682	97.01	5.131	NA-NA	HIGH	NA-NA	5	5.131	4916/12609	97.01	1334	NZ_VUMU01000001.1 Waltera intestinalis strain WCA3-601-WT-6H seq1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/547/815/GCA_900547815.1_genomic.fna.gz	0.3265	0.2480	97.28	4.964	NA-NA	HIGH	NA-NA	5	4.964	3741/8797	97.28	822	URHY01000001.1 uncultured Solobacterium sp. isolate UMGS1017 genome assembly, contig: NODE_148_length_74687_cov_13.712831, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/542/395/GCA_900542395.1_genomic.fna.gz	0.3223	0.2716	97.29	4.901	NA-NA	HIGH	NA-NA	5	4.901	4272/10023	97.29	523	UQNM01000001.1 uncultured Clostridiales bacterium isolate UMGS459 genome assembly, contig: NODE_395_length_65181_cov_5.190400, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/434/555/GCA_000434555.1_genomic.fna.gz	0.3192	0.1502	98.78	4.853	NA-NA	HIGH	NA-NA	5	4.853	3856/5648	98.78	13	FR880084.1 Clostridium sp. CAG:524 genomic scaffold, scf2, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/542/875/GCA_900542875.1_genomic.fna.gz	0.3180	0.1921	97.96	4.835	NA-NA	HIGH	NA-NA	5	4.835	3759/7121	97.96	35	UQPH01000001.1 uncultured Eubacterium sp. isolate UMGS508 genome assembly, contig: NODE_14_length_207437_cov_4.861704, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/584/705/GCA_003584705.1_genomic.fna.gz	0.3094	0.4635	98.16	4.705	NA-NA	HIGH	NA-NA	4	4.705	9660/17205	98.16	674	AP018536.1 Lachnospiraceae bacterium GAM79 DNA, complete genome
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/550/905/GCA_900550905.1_genomic.fna.gz	0.2751	0.4223	98.72	4.182	NA-NA	HIGH	NA-NA	4	4.182	12081/18016	98.72	59	URTT01000001.1 uncultured bacterium isolate UMGS1348 genome assembly, contig: NODE_85_length_169370_cov_7.116144, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/416/765/GCF_003416765.1_genomic.fna.gz	0.2574	0.1993	97.64	3.914	NA-NA	HIGH	NA-NA	4	3.914	4273/8951	97.64	49	NZ_QSNG01000001.1 Olsenella sp. KCTC 15699 KCTC15699_contig00001, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/156/015/GCF_000156015.1_genomic.fna.gz	0.2560	0.2346	98.33	3.892	NA-NA	HIGH	NA-NA	4	3.892	6411/10794	98.33	155	NZ_GG663534.1 Butyrivibrio crossotus DSM 2876 Scfld30, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/767/715/GCA_900767715.1_genomic.fna.gz	0.2557	0.0942	98.10	3.887	NA-NA	HIGH	NA-NA	4	3.887	2380/4319	98.10	43	CAAGAD010000001.1 TPA_asm: Clostridia bacterium, isolate HGM11372, WGS project CAAGAD010000000 data, contig: SRS476014_103_k119_18616, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/002/736/145/GCF_002736145.1_genomic.fna.gz	0.2536	0.2148	97.60	3.855	NA-NA	HIGH	NA-NA	3	3.855	4672/9926	97.60	88	NZ_CP024160.1 Collinsella aerofaciens strain indica chromosome, complete genome
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/432/835/GCA_000432835.1_genomic.fna.gz	0.2319	0.1080	98.93	3.526	NA-NA	HIGH	NA-NA	3	3.526	3924/5473	98.93	8	FR890363.1 Clostridium sp. CAG:417 genomic scaffold, scf2, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/905/193/155/GCA_905193155.1_genomic.fna.gz	0.2314	0.2234	98.53	3.517	NA-NA	HIGH	NA-NA	3	3.517	7182/11370	98.53	95	CAJJNQ010000001.1 TPA_asm: uncultured Catabacter sp. isolate ERR1600748-bin.5 genome assembly, contig: NODE_134_length_121018_cov_17.297496, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/012/825/GCF_000012825.1_genomic.fna.gz	0.2271	0.4306	97.20	3.452	NA-NA	HIGH	NA-NA	3	3.452	8775/21133	97.20	7139	NC_009614.1 Bacteroides vulgatus ATCC 8482, complete sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/434/195/GCA_000434195.1_genomic.fna.gz	0.2214	0.1028	97.31	3.367	NA-NA	HIGH	NA-NA	3	3.367	2329/5429	97.31	63	HF994400.1 Clostridium sp. CAG:780 genomic scaffold, scf3, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/539/945/GCA_900539945.1_genomic.fna.gz	0.2211	0.1964	98.12	3.362	NA-NA	HIGH	NA-NA	3	3.362	5803/10438	98.12	857	UQDV01000001.1 uncultured Faecalibacterium sp. isolate UMGS183 genome assembly, contig: NODE_33_length_160542_cov_7.17971, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/158/195/GCF_000158195.2_genomic.fna.gz	0.2147	0.2106	98.94	3.264	NA-NA	HIGH	NA-NA	3	3.264	8195/11391	98.94	5	NZ_GL987987.1 Fusobacterium mortiferum ATCC 9817 supercont2.1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/235/885/GCF_000235885.1_genomic.fna.gz	0.2045	0.2327	97.13	3.110	NA-NA	HIGH	NA-NA	3	3.110	5442/13432	97.13	336	NZ_JH379330.1 Prevotella stercorea DSM 18206 Scfld0, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/438/415/GCA_000438415.1_genomic.fna.gz	0.2003	0.0794	98.04	3.045	NA-NA	HIGH	NA-NA	3	3.045	2500/4622	98.04	315	FR902207.1 Clostridium sp. CAG:628 genomic scaffold, scf6, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/018/326/305/GCF_018326305.1_genomic.fna.gz	0.1954	0.1797	96.66	2.971	NA-NA	HIGH	NA-NA	3	2.971	3625/10398	96.66	1399	NZ_AP023415.1 Oscillibacter sp. MM35 chromosome
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/312/145/GCF_000312145.1_genomic.fna.gz	0.1953	0.2882	97.68	2.970	NA-NA	HIGH	NA-NA	3	2.970	8386/17351	97.68	1253	NZ_HE978647.1 Alistipes senegalensis JC50, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/544/295/GCA_900544295.1_genomic.fna.gz	0.1906	0.1961	98.33	2.898	NA-NA	HIGH	NA-NA	3	2.898	7068/11932	98.33	276	UQUO01000001.1 uncultured Clostridiales bacterium isolate UMGS658 genome assembly, contig: NODE_8_length_274339_cov_19.3444, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/435/175/GCA_000435175.1_genomic.fna.gz	0.1894	0.1013	97.41	2.880	NA-NA	HIGH	NA-NA	3	2.880	2815/6347	97.41	54	FR880004.1 Clostridium sp. CAG:245 genomic scaffold, scf3, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/905/202/255/GCA_905202255.1_genomic.fna.gz	0.1878	0.1353	97.34	2.855	NA-NA	HIGH	NA-NA	3	2.855	3614/8344	97.34	116	CAJKRH010000001.1 TPA_asm: uncultured Ruminococcus sp. isolate ERR1190865-bin.22 genome assembly, contig: NODE_139_length_96412_cov_5.146985, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/433/515/GCA_000433515.1_genomic.fna.gz	0.1867	0.1722	97.95	2.838	NA-NA	HIGH	NA-NA	3	2.838	5701/10832	97.95	38	FR891039.1 Firmicutes bacterium CAG:272 genomic scaffold, scf6, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/210/095/GCF_000210095.1_genomic.fna.gz	0.1818	0.1718	98.81	2.764	NA-NA	HIGH	NA-NA	3	2.764	7551/10955	98.81	66	NC_021039.1 Ruminococcus champanellensis 18P13 = JCM 17042, complete sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/514/385/GCA_003514385.1_genomic.fna.gz	0.1816	0.1383	96.79	2.762	NA-NA	HIGH	NA-NA	3	2.762	3256/8959	96.79	149	DOQR01000005.1 TPA_asm: Oscillospiraceae bacterium isolate UBA11447 contig_1984, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/173/795/GCF_000173795.1_genomic.fna.gz	0.1655	0.1624	97.90	2.516	97.86-98.15	2.516	1.90-2.63	2	2.716	5523/11517	97.66	17	NZ_ACCK01000475.1 Catenibacterium mitsuokai DSM 15897 C_mitsuokai-1.0_Cont606.1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/434/175/GCA_000434175.1_genomic.fna.gz	0.1644	0.0560	98.49	2.499	98.39-98.58	2.499	2.29-2.78	2	2.752	2302/3999	98.23	44	HF999747.1 Mycoplasma sp. CAG:611 genomic scaffold, scf2, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/001/025/215/GCF_001025215.1_genomic.fna.gz	0.1566	0.1331	97.66	2.382	97.58-97.77	2.382	1.99-2.55	2	2.730	4232/9671	97.37	115	NZ_AP012330.1 Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 strain JCM 1200 chromosome, complete genome
