Sample_file	Query_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Naive_ANI	ANI_5-95_percentile	Eff_cov	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Contig_name
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_001593535.1_genomic.fna.gz	1.3503	0.6125	96.29	95.53	96.08-96.53	1.428	1.428	1.23-1.61	2	1.746	911/3763	NZ_LNGI01000001.1 Neorickettsia sp. 179522 N_sp179522.1.0_Cont1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/GB_GCA_002706905.1_genomic.fna.gz	1.1813	2.9811	96.61	95.60	96.50-96.72	1.249	1.249	1.17-1.32	1	1.697	5109/20639	PALA01000001.1 Pseudooceanicola sp. isolate SAT54 164138, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_000426325.1_genomic.fna.gz	1.0938	3.4261	97.12	95.98	97.05-97.21	1.157	1.157	1.11-1.21	1	1.712	7213/25735	NZ_KE384521.1 Streptomyces sp. CNS606 K304DRAFT_scaffold00001.1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_000963275.1_genomic.fna.gz	0.8180	0.9063	97.45	95.81	97.27-97.63	0.865	0.865	0.79-0.93	1	1.648	2388/9015	NZ_JYOW01000001.1 Streptococcus parasanguinis strain MGH413 TZ97_contig000001, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_900113915.1_genomic.fna.gz	0.7486	2.9112	96.90	95.08	96.79-97.01	0.792	0.792	0.75-0.83	1	1.433	6673/31866	NZ_FORE01000040.1 Paenibacillus sp. UNC496MF, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_002931575.1_genomic.fna.gz	0.7230	1.4953	97.48	95.59	97.32-97.64	0.765	0.765	0.70-0.80	1	1.438	4236/17153	NZ_PSUA01000012.1 Pseudoclavibacter sp. RFBA6 RFBA6_1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_000760615.1_genomic.fna.gz	0.6279	0.6911	97.67	95.48	97.46-97.92	0.664	0.664	0.59-0.72	1	1.367	2145/9010	NZ_JRJB01000001.1 Lactobacillus sp. wkB10 wkB10_contig001, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/GB_GCA_003096315.1_genomic.fna.gz	0.5323	1.9368	97.73	95.17	97.60-97.86	0.563	0.563	0.53-0.59	1	1.328	6348/29478	QENG01000001.1 Achromobacter insuavis strain 7393 NODE_1_length_330491_cov_34.1212_ID_1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_002884815.1_genomic.fna.gz	0.5158	0.4350	96.86	94.25	96.57-97.24	0.545	0.545	0.47-0.59	1	1.271	1095/6855	NZ_PNGX01000001.1 Peptoniphilus lacrimalis strain UMB0663 .21837_8_42.1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_003048965.1_genomic.fna.gz	0.4932	0.4786	97.42	94.68	97.17-97.74	0.522	0.522	0.46-0.57	1	1.297	1446/7867	NZ_PIRP01000001.1 Campylobacter concisus strain H26O-S1 NODE_1_length_1025414_cov_228.57, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/GB_GCA_002692475.1_genomic.fna.gz	0.4553	0.2088	97.42	94.58	96.96-97.91	0.481	0.481	0.40-0.56	1	1.365	611/3435	NZKC01000071.1 Candidatus Pelagibacter sp. isolate MED104 100773, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_003045025.1_genomic.fna.gz	0.3674	0.4329	97.88	94.43	97.68-98.26	0.389	0.389	0.34-0.42	1	1.209	1623/9598	NZ_POYB01000001.1 Neisseria subflava strain C2014021188 C2014021188_S45_ctg_1232, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_002966775.1_genomic.fna.gz	0.3400	1.1151	96.94	93.71	96.73-97.21	0.360	0.360	0.33-0.39	1	1.648	3532/26430	NZ_CP023269.1 Pseudomonas sp. MYb193 chromosome, complete genome
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_002954555.1_genomic.fna.gz	0.3262	0.9535	96.83	93.12	96.52-97.11	0.345	0.345	0.32-0.38	1	1.183	2565/23393	NZ_MSCG01000010.1 Vibrio splendidus strain ORI231 scaffold10_cov7_read178, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_003111705.1_genomic.fna.gz	0.3226	1.0057	97.67	93.90	97.46-97.91	0.341	0.341	0.31-0.37	1	1.209	3553/24981	NZ_CP029173.1 Methylobacterium sp. DM1 chromosome, complete genome
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_002795165.1_genomic.fna.gz	0.3194	0.5757	97.08	93.31	96.69-97.41	0.338	0.338	0.30-0.37	1	1.183	1729/14807	NZ_LBNL01000001.1 Acinetobacter tandoii strain SC36 contig1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/GB_GCA_003518585.1_genomic.fna.gz	0.2479	0.3369	97.70	93.24	97.19-98.10	0.262	0.262	0.23-0.30	1	1.214	1278/11180	UBA9015_contig_1294
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_900130135.1_genomic.fna.gz	0.2428	0.5099	97.22	92.73	96.77-97.50	0.257	0.257	0.23-0.29	1	1.129	1632/16912	NZ_LT670820.1 Bacteroides togonis strain Marseille-P3166, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_001420285.1_genomic.fna.gz	0.1565	0.3152	97.40	91.75	96.73-97.96	0.166	0.166	0.13-0.20	1	1.069	1133/16366	NZ_LLYZ01000001.1 Chryseobacterium aquaticum strain KCTC 12483 Contig01, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_001071995.1_genomic.fna.gz	0.0959	0.0913	96.31	89.40	94.82-98.02	0.101	0.101	0.05-0.16	1	1.039	230/7426	NZ_JVNU01000002.1 Streptococcus sp. 263_SSPC 485_267_13898, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_000284375.1_genomic.fna.gz	0.0881	0.4285	96.11	88.96	95.26-96.91	0.093	0.093	0.07-0.12	1	1.094	1050/39427	NC_017249.1 Bradyrhizobium japonicum USDA 6 DNA, complete genome
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_002150205.1_genomic.fna.gz	0.0730	0.1384	96.23	88.56	94.88-97.87	0.077	0.077	0.04-0.12	1	1.048	355/15327	NZ_MTCA01000392.1 Flavobacterium sp. FPG59 Contig_1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_000805695.1_genomic.fna.gz	0.0521	0.1022	97.65	88.93	96.16-99.20	0.055	0.055	0.03-0.08	1	1.034	414/15716	NZ_JSYQ01000001.1 Empedobacter falsenii strain 282 contig_1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_000291355.1_genomic.fna.gz	0.0313	0.0847	95.67	85.75	92.90-96.22	0.033	0.033	0.03-0.08	1	1.011	185/21751	NZ_JH791984.1 Bacillus cereus BAG6X1-2 supercont1.1, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_001553215.1_genomic.fna.gz	30.2328	18.5519	96.79	96.79	NA-NA	58.000	HIGH	NA-NA	58	56.040	3685/10148	NZ_KQ960406.1 Porphyromonas somerae strain KA00683 Scaffold19, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_003053425.1_genomic.fna.gz	13.0314	19.8823	96.51	96.51	NA-NA	25.000	HIGH	NA-NA	25	24.913	8443/25399	NZ_QAYS01000116.1 Achromobacter mucicolens strain KCJK8006 NODE_100_length_1378_cov_18.3669_ID_199, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_000754155.1_genomic.fna.gz	12.5101	15.1817	97.78	97.78	NA-NA	24.000	HIGH	NA-NA	24	23.928	9970/19980	BBMI01000098.1 Vibrio ponticus DNA, contig: contig00035_98, strain: JCM 19238, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_001975705.1_genomic.fna.gz	9.9038	13.5694	95.84	95.84	NA-NA	19.000	HIGH	NA-NA	19	19.149	5989/22387	NZ_CP015093.1 Pelagibaca abyssi strain JLT2014 chromosome, complete genome
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_000433815.1_genomic.fna.gz	5.7338	4.2816	98.11	98.11	NA-NA	11.000	HIGH	NA-NA	11	10.981	6809/12289	HF998974.1 Blautia sp. CAG:257 genomic scaffold, scf5, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_002332285.1_genomic.fna.gz	5.7338	5.8288	98.34	98.34	NA-NA	11.000	HIGH	NA-NA	11	10.985	10165/17059	NZ_NRGT01000001.1 Glutamicibacter sp. BW77 SAMN07141165.1002, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_002335925.1_genomic.fna.gz	2.6063	2.9234	98.05	98.05	NA-NA	5.000	HIGH	NA-NA	5	5.360	10118/18632	DDDM01000105.1 TPA_asm: Alteromonadaceae bacterium UBA1980 UBA1980_contig_101560, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_002431175.1_genomic.fna.gz	2.6063	4.6967	96.55	96.55	NA-NA	5.000	HIGH	NA-NA	5	5.411	9903/29387	DJDU01000297.1 TPA_asm: Neorhizobium sp. UBA5916 UBA5916_contig_1010, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_001487165.1_genomic.fna.gz	2.6063	2.5241	95.71	95.71	NA-NA	5.000	HIGH	NA-NA	5	5.789	4052/15776	NZ_LN913002.1 Blautia massiliensis strain GD8, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_002696455.1_genomic.fna.gz	2.0850	0.6499	96.13	96.13	NA-NA	4.000	HIGH	NA-NA	4	4.672	1472/4996	NZTK01000065.1 Halieaceae bacterium isolate EAC114 109712, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_002550035.1_genomic.fna.gz	1.5638	1.2301	97.30	97.30	NA-NA	3.000	HIGH	NA-NA	3	3.180	5536/12940	NZ_NOUV01000001.1 Faecalibacterium prausnitzii strain AHMP21 AHMP21_contig_1, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_001579665.1_genomic.fna.gz	1.5638	0.9152	96.80	96.80	NA-NA	3.000	HIGH	NA-NA	3	2.792	3404/9315	CM003839.1 Streptococcus mitis strain DD22 plasmid unnamed, complete sequence, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_000735715.2_genomic.fna.gz	1.1365	1.6556	96.77	96.42	96.73-96.88	2.180	2.180	1.96-2.28	2	2.392	7757/24013	NZ_JASY01000001.1 Flavobacterium chungangense LMG 26729 contig_01, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_002341585.1_genomic.fna.gz	0.9945	0.6756	98.22	97.74	98.14-98.30	1.908	1.908	1.77-2.04	2	2.394	5523/11221	DDOJ01000023.1 TPA_asm: Brevundimonas sp. UBA2497 UBA2497_contig_1042, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_002449695.1_genomic.fna.gz	0.9656	0.6339	96.09	95.59	95.95-96.19	1.852	1.852	1.71-1.99	2	2.309	2669/10813	DJXI01000075.1 TPA_asm: Verrucomicrobia bacterium UBA7008 UBA7008_contig_100108, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_001188545.1_genomic.fna.gz	0.9463	0.7041	96.87	96.34	96.77-96.96	1.815	1.815	1.70-1.93	2	2.553	3835/12194	LGSW01000001.1 Enhydrobacter aerosaccus strain CGMCC9176 contig_1, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_002135245.1_genomic.fna.gz	0.9002	0.7952	97.44	96.86	97.37-97.51	1.727	1.727	1.64-1.81	2	2.088	5449/14661	NZ_NEGD01000001.1 Acinetobacter sp. ANC 4218 Contig1, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_900113915.1_genomic.fna.gz	0.7760	1.4890	96.96	96.20	96.88-97.03	1.489	1.489	1.43-1.54	2	1.909	9576/31866	NZ_FORE01000040.1 Paenibacillus sp. UNC496MF, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_001550135.1_genomic.fna.gz	0.5240	0.6563	96.47	95.11	96.35-96.60	1.005	1.005	0.93-1.08	1	1.580	4295/20333	NZ_LRUE01000001.1 Pseudoalteromonas shioyasakiensis strain JCM 18891 PASHI_S1, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_000159355.1_genomic.fna.gz	0.4717	0.2188	95.74	94.20	95.49-96.00	0.905	0.905	0.79-1.00	1	1.501	1200/7641	NZ_GG670151.1 Lactobacillus johnsonii ATCC 33200 SCAFFOLD32, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_002690585.1_genomic.fna	0.4657	0.0792	96.59	95.01	96.25-96.93	0.893	0.893	0.75-1.02	1	1.472	549/2686	NZFG01000001.1 Pelagibacteraceae bacterium isolate MED724 127, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_003094595.1_genomic.fna.gz	0.4023	0.5809	96.84	94.98	96.70-96.99	0.772	0.772	0.71-0.82	1	1.483	4867/24035	QDKP01000001.1 Caulobacter sp. 736 NODE_55_length_6493_cov_45.5888, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_001956185.1_genomic.fna.gz	0.3848	0.7793	97.11	95.15	97.01-97.24	0.738	0.738	0.69-0.77	1	1.430	7146/33382	NZ_MRTP01000010.1 Paenibacillus rhizosphaerae strain FSL R5-0378 NODE_10_length_230030_cov_1.60961_ID_3984, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_000223335.2_genomic.fna.gz	0.2765	0.1347	96.27	93.61	95.96-96.63	0.531	0.531	0.46-0.58	1	1.411	1037/8026	AFUQ01000016.1 Streptococcus infantis X ctg1128491769477, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_002259335.1_genomic.fna.gz	0.1986	0.2990	96.89	93.43	96.65-97.13	0.381	0.381	0.35-0.41	1	1.198	3020/24841	NZ_NPFX01000014.1 Rhodococcus sp. 14-2483-1-1 RS1B5_1, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_001263755.1_genomic.fna.gz	0.1984	0.1325	97.96	94.46	97.73-98.31	0.381	0.381	0.33-0.41	1	1.189	1828/10711	NZ_CP012342.1 Corynebacterium riegelii strain PUDD_83A45 genome
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_000186325.1_genomic.fna.gz	0.1960	0.1815	97.30	93.80	97.02-97.62	0.376	0.376	0.34-0.41	1	1.220	2125/15480	NZ_AEKG01000428.1 Dietzia cinnamea P4 contig00521, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_002307845.1_genomic.fna.gz	0.1785	0.1958	97.11	93.38	96.83-97.46	0.342	0.342	0.30-0.38	1	1.410	2185/18246	DBUI01000169.1 TPA_asm: Stenotrophomonas maltophilia isolate UBA1294 UBA1294_contig_1008, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_000381005.1_genomic.fna.gz	0.1752	0.1227	95.79	92.06	95.35-96.21	0.336	0.336	0.29-0.39	1	1.196	873/11353	NZ_KB908379.1 Selenomonas bovis DSM 23594 F599DRAFT_scaffold00001.1, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_000965765.1_genomic.fna.gz	0.1631	0.0359	96.62	92.68	96.03-97.34	0.313	0.313	0.23-0.38	1	1.190	352/3713	CP011021.1 Mycoplasma gallinaceum strain B2096 8B, complete genome
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_000466335.1_genomic.fna.gz	0.1146	0.0602	96.82	91.96	96.15-97.46	0.220	0.220	0.17-0.28	1	1.109	644/8664	NZ_KE952586.1 Aggregatibacter sp. oral taxon 458 str. W10330 Scaffold0, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_000745575.1_genomic.fna.gz	0.0792	0.1245	96.84	91.05	96.33-97.41	0.152	0.152	0.12-0.18	1	1.496	1422/26033	NZ_KN050709.1 Rhizobium sp. OK665 EW95DRAFT_scaffold00001.1, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_900114065.1_genomic.fna.gz	0.0781	0.0947	97.29	91.40	96.71-97.93	0.150	0.150	0.12-0.18	1	1.213	1252/20362	NZ_FORS01000031.1 Pseudomonas kunmingensis strain DSM 25974, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_002282595.1_genomic.fna.gz	0.0699	0.0574	96.39	90.27	95.52-97.43	0.134	0.134	0.09-0.17	1	1.214	570/13594	NCJV01000282.1 Pseudomonas sp. 34-62-33 04302015_34_scaffold_10000, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/GB_GCA_002716165.1_genomic.fna.gz	0.0636	0.0223	95.68	89.31	94.05-97.58	0.122	0.122	0.06-0.19	1	1.051	175/5826	PAZT01000024.1 Deltaproteobacteria bacterium isolate SP68 163088, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_003044935.1_genomic.fna.gz	0.0493	0.0278	95.10	88.13	93.40-97.23	0.095	0.095	0.05-0.15	1	1.139	187/9396	NZ_POXP01000001.1 Neisseria subflava strain C2012011976 C2012011976_S31_ctg_494, whole genome shotgun sequence
species90/species90_1_R1.fq.gz	release89/bacteria/RS_GCF_000175275.1_genomic.fna.gz	0.0144	0.0083	99.54	88.71	96.81-99.74	0.028	0.028	0.03-0.06	1	1.137	227/9313	NZ_ACQV01000031.1 Neisseria flavescens SK114 ctg1118407793856, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/GB_GCA_002704465.1_genomic.fna.gz	23.8444	13.0793	95.59	95.59	NA-NA	33.000	HIGH	NA-NA	33	31.772	1482/6000	PAGI01000055.1 Marinovum sp. isolate MED793 104055, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/GB_GCA_002714575.1_genomic.fna.gz	10.8383	14.9623	96.17	96.17	NA-NA	15.000	HIGH	NA-NA	15	14.717	4612/15485	PAXH01000001.1 Flavobacterium sp. isolate SAT130 262521, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_003044935.1_genomic.fna.gz	10.1158	8.3849	96.54	96.54	NA-NA	14.000	HIGH	NA-NA	14	14.363	3151/9396	NZ_POXP01000001.1 Neisseria subflava strain C2012011976 C2012011976_S31_ctg_494, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/GB_GCA_003518755.1_genomic.fna.gz	6.5030	3.6931	96.83	96.83	NA-NA	9.000	HIGH	NA-NA	9	8.665	2292/6230	contig_100481
species90/species90_3_R1.fq.gz	release89/bacteria/GB_GCA_002694595.1_genomic.fna.gz	5.7804	1.4020	95.56	95.56	NA-NA	8.000	HIGH	NA-NA	8	8.531	674/2758	NZMT01000067.1 Rhizobiales bacterium isolate IN1073 31449, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/GB_GCA_002716165.1_genomic.fna.gz	4.3353	2.2397	96.22	96.22	NA-NA	6.000	HIGH	NA-NA	6	5.847	1766/5826	PAZT01000024.1 Deltaproteobacteria bacterium isolate SP68 163088, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_000689495.1_genomic.fna.gz	3.6128	6.4767	97.60	97.60	NA-NA	5.000	HIGH	NA-NA	5	5.598	9550/20284	NZ_CCAO010000001.1 Devosia sp. DBB001 strain DDB001, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_003002995.1_genomic.fna.gz	3.6128	5.0646	96.86	96.86	NA-NA	5.000	HIGH	NA-NA	5	6.088	5864/15767	NZ_PVTM01000001.1 Halomonas ventosae strain USBA 854 Ga0105848_101, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/GB_GCA_002430515.1_genomic.fna.gz	2.1677	1.3122	96.41	96.41	NA-NA	3.000	HIGH	NA-NA	3	3.571	2082/6467	DJCL01000018.1 TPA_asm: Alphaproteobacteria bacterium UBA5951 UBA5951_contig_10001, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/archaea/RS_GCF_000430485.1_genomic.fna.gz	2.1677	1.8114	97.85	97.85	NA-NA	3.000	HIGH	NA-NA	3	3.176	4367/8553	NZ_KE387145.1 Thermococcus sp. PK ThePKDRAFT_TPC.1, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/GB_GCA_000158895.1_genomic.fna.gz	2.1677	7.0417	96.45	96.45	NA-NA	3.000	HIGH	NA-NA	3	3.005	11099/33985	GG657753.1 Streptomyces sp. C genomic scaffold supercont1.4, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_002799095.1_genomic.fna.gz	2.1677	3.9987	97.89	97.89	NA-NA	3.000	HIGH	NA-NA	3	3.227	10789/20874	NZ_NERA01000002.1 Stenotrophomonas maltophilia strain C357 C357_contig001, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_001521715.1_genomic.fna.gz	2.1677	3.9998	96.64	96.64	NA-NA	3.000	HIGH	NA-NA	3	3.695	6926/19970	NZ_CP011863.1 Enterobacter asburiae strain ATCC 35953, complete sequence
species90/species90_3_R1.fq.gz	release89/bacteria/GB_GCA_001623385.2_genomic.fna.gz	2.1677	0.5718	97.18	97.18	NA-NA	3.000	HIGH	NA-NA	3	3.608	1105/2678	LLKK01000001.1 Phytoplasma sp. Vc33 3J-1, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_003248275.1_genomic.fna.gz	2.1677	5.6559	97.43	97.43	NA-NA	3.000	HIGH	NA-NA	3	3.061	13086/29307	NZ_QKWW01000001.1 Paenibacillus silvae strain NC2 D70275-04_R2_contig_1, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_002964915.1_genomic.fna.gz	2.1677	1.9050	97.73	97.73	NA-NA	3.000	HIGH	NA-NA	3	3.144	4818/9832	NZ_PSZL01000001.1 Apibacter sp. wkB309 NODE_11_length_413543_cov_24.695860, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_001457835.1_genomic.fna.gz	1.8413	1.2296	96.19	95.96	96.07-96.29	2.548	2.548	2.30-2.87	2	2.719	1954/7022	NZ_LN898223.1 Fenollaria timonensis strain GD5, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_001637565.1_genomic.fna.gz	1.8184	2.2318	97.92	97.67	97.86-97.98	2.517	2.517	2.39-2.67	2	2.714	6732/13974	NZ_LQZG01000001.1 Janibacter melonis strain CD11-4 contig_1, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_003144325.1_genomic.fna.gz	1.2982	2.0426	96.90	96.36	96.82-96.98	1.797	1.797	1.70-1.90	2	2.270	5597/17640	NZ_PENS01000011.1 Proteus terrae strain LMG 28659 Scaffold10_1, whole genome shotgun sequence
species90/species90_3_R1.fq.gz	release89/bacteria/RS_GCF_000213615.1_genomic.fna.gz	1.2601	1.5650	98.33	97.75	98.26-98.40	1.744	1.744	1.66-1.83	2	2.134	6545/13242	NZ_GL892048.1 Psychrobacter sp. 1501(2011) SCAFFOLD1, whole genome shotgun sequence
