Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/001/639/275/GCF_001639275.1_genomic.fna.gz	100.00	9.000	NA-NA	HIGH	NA-NA	9	9.074	8844/8846	100.00	NZ_LWMU01000001.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000001, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/016/545/GCF_000016545.1_genomic.fna.gz	100.00	24.000	NA-NA	HIGH	NA-NA	24	24.633	11952/11955	100.00	NC_009437.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/018/945/GCF_000018945.1_genomic.fna.gz	100.00	36.000	NA-NA	HIGH	NA-NA	36	37.194	8039/8045	100.00	NC_011978.1 Thermotoga neapolitana DSM 4359, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/002/952/055/GCF_002952055.1_genomic.fna.gz	100.00	8.000	NA-NA	HIGH	NA-NA	8	8.225	11432/11441	100.00	NZ_CP021255.1 Desulfobulbus oralis strain HOT041/ORNL chromosome, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/196/115/GCF_000196115.1_genomic.fna.gz	100.00	7.000	NA-NA	HIGH	NA-NA	7	7.239	30322/30348	100.00	NC_005027.1 Rhodopirellula baltica SH 1, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/166/095/GCF_000166095.1_genomic.fna.gz	100.00	14.000	NA-NA	HIGH	NA-NA	14	14.067	5279/5284	100.00	NC_014658.1 Methanothermus fervidus DSM 2088, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/008/665/GCF_000008665.1_genomic.fna.gz	100.00	1.215	99.94-100.07	1.215	1.16-1.26	1	1.729	6614/9304	98.91	NC_000917.1 Archaeoglobus fulgidus DSM 4304, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/020/465/GCF_000020465.1_genomic.fna.gz	100.00	12.000	NA-NA	HIGH	NA-NA	12	12.116	11379/11393	100.00	NC_010803.1 Chlorobium limicola DSM 245, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/000/018/565/GCA_000018565.1_genomic.fna.gz	99.99	7.000	NA-NA	HIGH	NA-NA	7	6.880	28256/28302	99.99	CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/091/665/GCF_000091665.1_genomic.fna.gz	99.99	14.000	NA-NA	HIGH	NA-NA	14	14.673	7442/7457	99.99	NC_000909.1 Methanocaldococcus jannaschii DSM 2661, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/019/085/GCF_000019085.1_genomic.fna.gz	99.99	7.000	NA-NA	HIGH	NA-NA	7	6.804	9367/9389	99.99	NC_010321.1 Thermoanaerobacter pseudethanolicus ATCC 33223, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/011/105/GCF_000011105.1_genomic.fna.gz	99.99	7.000	NA-NA	HIGH	NA-NA	7	6.752	7534/7564	99.99	NC_000961.1 Pyrococcus horikoshii OT3, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/900/167/395/GCF_900167395.1_genomic.fna.gz	99.98	9.000	NA-NA	HIGH	NA-NA	9	9.548	11652/11710	99.98	NZ_FUWK01000085.1 Nitrosomonas europaea strain ATCC 25978, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/007/185/GCF_000007185.1_genomic.fna.gz	99.98	1.449	99.91-100.06	1.449	1.38-1.51	2	1.849	5701/7420	99.15	NC_003551.1 Methanopyrus kandleri AV19, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/015/125/GCF_000015125.1_genomic.fna.gz	99.96	4.000	NA-NA	HIGH	NA-NA	4	4.703	12548/12718	99.96	NC_008639.1 Chlorobium phaeobacteroides DSM 266, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/001/481/685/GCF_001481685.1_genomic.fna.gz	99.96	4.000	NA-NA	HIGH	NA-NA	4	4.264	5903/5983	99.96	NZ_CP006867.1 Ignicoccus islandicus DSM 13165 chromosome, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/000/007/325/GCA_000007325.1_genomic.fna.gz	99.96	5.000	NA-NA	HIGH	NA-NA	5	4.693	8942/9067	99.96	AE009951.2 Fusobacterium nucleatum subsp. nucleatum ATCC 25586, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/006/985/GCF_000006985.1_genomic.fna.gz	99.94	4.000	NA-NA	HIGH	NA-NA	4	4.442	9034/9193	99.94	NC_002932.3 Chlorobaculum tepidum TLS, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/011/065/GCF_000011065.1_genomic.fna.gz	99.94	0.826	99.88-100.01	0.826	0.80-0.85	1	1.502	14990/26733	98.15	NC_004663.1 Bacteroides thetaiotaomicron VPI-5482, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/013/645/GCF_000013645.1_genomic.fna.gz	99.93	1.967	99.91-99.95	1.967	1.93-2.01	2	2.340	35088/41361	99.47	NC_007951.1 Paraburkholderia xenovorans LB400 chromosome 1, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/012/825/GCF_000012825.1_genomic.fna.gz	99.93	1.764	99.89-99.97	1.764	1.71-1.81	2	2.104	17269/21133	99.35	NC_009614.1 Phocaeicola vulgatus ATCC 8482, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/008/565/GCF_000008565.1_genomic.fna.gz	99.91	1.069	99.84-99.99	1.069	1.02-1.10	1	1.644	8932/13818	98.60	NC_001263.1 Deinococcus radiodurans R1 chromosome 1, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/008/185/GCF_000008185.1_genomic.fna.gz	99.88	0.690	99.74-99.97	0.690	0.67-0.73	1	1.378	5972/12251	97.71	NC_002967.9 Treponema denticola ATCC 35405, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/009/705/GCF_000009705.1_genomic.fna.gz	99.87	1.670	99.83-99.91	1.670	1.63-1.71	2	2.469	23961/30485	99.23	NC_003272.1 Nostoc sp. PCC 7120 = FACHB-418, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/016/425/GCF_000016425.1_genomic.fna.gz	99.82	0.907	99.76-99.89	0.907	0.87-0.93	1	1.534	12525/21909	98.21	NC_009380.1 Salinispora tropica CNB-440, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/156/375/GCF_000156375.1_genomic.fna.gz	99.74	3.000	NA-NA	HIGH	NA-NA	3	2.875	11186/12133	99.74	NZ_DS996397.1 Desulfovibrio piger ATCC 29098 Scfld442, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/022/565/GCF_000022565.1_genomic.fna.gz	99.73	0.570	99.61-99.87	0.570	0.53-0.60	1	1.331	7222/17757	97.14	NC_012483.1 Acidobacterium capsulatum ATCC 51196, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/007/985/GCF_000007985.2_genomic.fna.gz	99.71	0.751	99.62-99.82	0.751	0.72-0.78	1	1.408	8078/16461	97.73	NC_002939.5 Geobacter sulfurreducens PCA, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/021/282/585/GCF_021282585.1_genomic.fna.gz	99.49	5.000	NA-NA	HIGH	NA-NA	5	5.319	23417/27430	99.49	NZ_JAJSPR010000100.1 Pseudomonas alloputida strain NMI2441_06 NODE_100_length_3132_cov_481.337, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/008/124/605/GCF_008124605.1_genomic.fna.gz	99.23	11.000	NA-NA	HIGH	NA-NA	11	11.714	7866/10007	99.23	NZ_VRYN01000001.1 Halobacterium salinarum DSM 3754 Ga0061114_scaffold00001.1, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/003/968/655/GCF_003968655.1_genomic.fna.gz	98.78	5.000	NA-NA	HIGH	NA-NA	5	4.849	6053/8851	98.78	NZ_RXYK01000010.1 Chlorobium phaeovibrioides strain BrKhr17 NODE_10_length_80169_cov_14.7459, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/392/875/GCF_000392875.1_genomic.fna.gz	98.69	0.391	98.47-98.94	0.391	0.36-0.42	1	1.172	2680/12252	95.22	NZ_KB944588.1 Enterococcus faecalis ATCC 19433 acAqW-supercont1.1, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/007/225/GCF_000007225.1_genomic.fna.gz	98.67	0.538	98.48-98.86	0.538	0.49-0.58	1	1.266	2610/9340	95.97	NC_003364.1 Pyrobaculum aerophilum str. IM2, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/900/638/555/GCF_900638555.1_genomic.fna.gz	98.61	0.164	97.89-99.25	0.164	0.13-0.21	1	1.097	887/8878	92.84	NZ_LR134525.1 Neisseria meningitidis strain NCTC10025 chromosome 1, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/006/716/065/GCF_006716065.1_genomic.fna.gz	98.54	1.304	98.48-98.60	1.304	1.26-1.35	2	1.834	11263/24128	97.57	NZ_VFOL01000001.1 Salinispora arenicola strain DSM 44819 Ga0264271_11, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/001/645/105/GCF_001645105.1_genomic.fna.gz	98.50	6.000	NA-NA	HIGH	NA-NA	6	6.177	17757/28352	98.50	NZ_LKEG01000001.1 Pseudomonas marginalis strain ICMP 3553 C1001, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/900/456/975/GCF_900456975.1_genomic.fna.gz	98.48	8.000	NA-NA	HIGH	NA-NA	8	8.471	13590/21877	98.48	NZ_UGYM01000002.1 Shewanella baltica strain NCTC10735, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/019/785/GCF_000019785.1_genomic.fna.gz	98.46	0.174	97.96-98.92	0.174	0.15-0.20	1	1.128	2086/20725	92.86	NC_010524.1 Leptothrix cholodnii SP-6, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/001/457/615/GCF_001457615.1_genomic.fna.gz	98.35	0.045	97.04-100.01	0.045	0.02-0.07	1	1.884	743/27151	89.04	NZ_LN831024.1 Pseudomonas aeruginosa strain NCTC10332 chromosome 1, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/012/905/GCF_000012905.2_genomic.fna.gz	98.30	0.098	97.60-98.97	0.098	0.08-0.12	1	1.062	1113/19737	91.14	NC_007493.2 Cereibacter sphaeroides 2.4.1 chromosome 1, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/002/799/245/GCF_002799245.1_genomic.fna.gz	98.15	0.202	97.72-98.52	0.202	0.18-0.23	1	1.117	2166/20624	92.99	NZ_NEQV01000001.1 Stenotrophomonas maltophilia strain EA1 Contig_1_consensus_ctg_5_15_2, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/166/775/GCF_000166775.1_genomic.fna.gz	97.78	0.268	97.39-98.26	0.268	0.23-0.30	1	0.865	1830/11815	94.16	NC_014720.1 Caldicellulosiruptor kronotskyensis 2002, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	97.57	0.260	97.22-97.86	0.260	0.23-0.29	1	1.132	2318/21223	93.11	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/008/545/GCF_000008545.1_genomic.fna.gz	97.45	25.000	NA-NA	HIGH	NA-NA	25	25.715	3585/7992	97.45	NC_000853.1 Thermotoga maritima MSB8, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/923/184/405/GCA_923184405.1_genomic.fna.gz	97.15	0.138	96.06-98.13	0.138	0.10-0.19	1	1.096	499/9265	91.01	OV299793.1 Neisseria meningitidis strain NM-1853 genome assembly, scaffold: scaffold00001, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/009/759/685/GCF_009759685.1_genomic.fna.gz	97.14	0.185	96.55-97.58	0.185	0.16-0.22	1	1.113	1195/17043	91.78	NZ_CP046654.1 Acinetobacter baumannii strain ATCC 19606 chromosome, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/784/835/GCF_000784835.1_genomic.fna.gz	96.92	23.000	NA-NA	HIGH	NA-NA	23	23.309	2989/7893	96.92	NZ_JSFH01000001.1 Thermotoga sp. Mc24 Contig1, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/002/945/325/GCF_002945325.1_genomic.fna.gz	96.83	1.847	96.71-96.96	1.847	1.70-1.98	2	2.728	2286/7296	96.33	NZ_CP026606.1 Methanococcus maripaludis strain DSM 2067 chromosome, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/900/760/795/GCA_900760795.1_genomic.fna.gz	96.81	1.870	96.74-96.88	1.870	1.78-1.97	2	2.121	5523/17696	96.31	CAAFAI010000001.1 TPA_asm: Bacteroidaceae bacterium, isolate HGM04771, WGS project CAAFAI010000000 data, contig: SRS021948_34_k99_167, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/003/030/305/GCF_003030305.1_genomic.fna.gz	96.63	0.135	95.73-97.54	0.135	0.10-0.18	1	1.063	473/10561	90.47	NZ_CP023676.1 Cutibacterium acnes strain ATCC 6919 chromosome, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/019/414/665/GCA_019414665.1_genomic.fna.gz	96.62	1.691	96.45-96.75	1.691	1.52-1.93	2	2.098	3083/10874	96.02	DXLO01000001.1 MAG TPA_asm: Bacteroides sp. isolate HRGM_Genome_0405 HRGM_Genome_0405_1, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/021/307/345/GCA_021307345.1_genomic.fna.gz	96.61	0.164	96.02-97.15	0.164	0.14-0.20	1	1.088	992/18695	90.96	CP089930.1 Escherichia coli strain E69 chromosome, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/000/445/185/GCA_000445185.1_genomic.fna.gz	96.59	7.000	NA-NA	HIGH	NA-NA	7	6.846	3842/11254	96.59	AVAF01000001.1 MAG: Thermoanaerobacter sp. A7A NODE_13_length_6096_cov_691.959473, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/004/211/955/GCF_004211955.1_genomic.fna.gz	96.58	0.187	96.02-97.07	0.187	0.15-0.22	1	1.122	1217/20437	91.30	NZ_RHJI01000010.1 Escherichia sp. E1V33 1V33_10_consensus, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/019/414/725/GCA_019414725.1_genomic.fna.gz	96.57	1.592	96.46-96.65	1.592	1.51-1.69	2	1.938	3915/14370	95.89	DXLM01000001.1 MAG TPA_asm: Bacteroides sp. isolate HRGM_Genome_0403 HRGM_Genome_0403_1, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/003/722/315/GCA_003722315.1_genomic.fna.gz	96.55	7.000	NA-NA	HIGH	NA-NA	7	6.842	3599/10684	96.55	CP033580.1 Thermoanaerobacter ethanolicus JW 200 chromosome, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/019/655/335/GCF_019655335.1_genomic.fna.gz	96.47	8.000	NA-NA	HIGH	NA-NA	8	8.480	6970/21229	96.47	NZ_BPFD01000001.1 Shewanella hafniensis strain ATCC BAA-1207 sequence001, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/002/965/065/GCF_002965065.1_genomic.fna.gz	96.41	0.197	95.98-96.87	0.197	0.16-0.23	1	1.122	1148/19455	91.28	NZ_PTRE01000100.1 Escherichia sp. MOD1-EC7003 MOD1-EC7003_100_length_365_cov_541, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/005/843/885/GCF_005843885.1_genomic.fna.gz	96.23	0.170	95.59-96.80	0.170	0.14-0.20	1	1.105	1031/21253	90.70	NZ_CP040443.1 Escherichia sp. E4742 chromosome, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/213/785/GCF_000213785.1_genomic.fna.gz	96.15	0.212	95.28-96.89	0.212	0.16-0.28	1	1.126	382/6613	91.21	NC_015557.1 Hydrogenobaculum sp. 3684, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/013/009/555/GCF_013009555.1_genomic.fna.gz	96.09	1.874	96.01-96.18	1.874	1.74-1.96	2	2.097	5810/23489	95.59	NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/173/615/GCF_000173615.1_genomic.fna.gz	96.07	0.904	95.83-96.34	0.904	0.81-1.00	1	1.623	1104/6341	94.52	NZ_ABZS01000228.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_18, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/147/695/GCF_000147695.2_genomic.fna.gz	95.98	6.000	NA-NA	HIGH	NA-NA	6	6.729	3099/11045	95.98	NC_015958.1 Thermoanaerobacter wiegelii Rt8.B1, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/905/200/945/GCA_905200945.1_genomic.fna.gz	95.90	1.888	95.79-96.03	1.888	1.74-2.05	2	2.514	2799/11969	95.42	CAJKMG010000001.1 TPA_asm: uncultured Akkermansia sp. isolate ERR414247-bin.14 genome assembly, contig: NODE_1_length_362532_cov_11.812060, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/012/843/875/GCF_012843875.1_genomic.fna.gz	95.87	3.000	NA-NA	HIGH	NA-NA	3	2.804	3311/12259	95.87	NZ_JABAFY010000001.1 Desulfovibrio piger strain PG-251-APC-1 Contig_1, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/001/602/925/GCA_001602925.1_genomic.fna.gz	95.81	4.000	NA-NA	HIGH	NA-NA	4	4.543	2645/9968	95.81	LUZT01000020.1 MAG: Chlorobiales bacterium Clorobi_01 Chlorobi_01_contig_10178, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/026/225/GCF_000026225.1_genomic.fna.gz	95.81	0.182	95.18-96.41	0.182	0.14-0.22	1	1.092	901/19934	90.49	NC_011740.1 Escherichia fergusonii ATCC 35469, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/000/176/735/GCA_000176735.1_genomic.fna.gz	95.72	0.198	94.84-96.50	0.198	0.15-0.27	1	1.129	417/8712	90.66	ADBE01000139.1 Neisseria polysaccharea ATCC 43768 N_polysaccharea-1.0.1_Cont284.1, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/902/459/535/GCF_902459535.1_genomic.fna.gz	95.70	1.881	95.62-95.76	1.881	1.79-1.99	2	2.352	7740/35370	95.22	NZ_LR699553.1 Paraburkholderia dioscoreae isolate PDMSB31 chromosome I
