Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/011/965/GCF_000011965.2_genomic.fna.gz	97.25	0.027	94.08-97.63	0.027	0.03-0.06	1	1.013	227/19921	86.56	NC_003911.12 Ruegeria pomeroyi DSS-3, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/784/835/GCF_000784835.1_genomic.fna.gz	97.14	5.000	NA-NA	HIGH	NA-NA	5	5.442	3207/7893	97.14	NZ_JSFH01000001.1 Thermotoga sp. Mc24 Contig1, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/308/215/GCF_000308215.1_genomic.fna.gz	96.88	0.070	95.37-98.76	0.070	0.04-0.12	1	1.034	294/11312	88.89	NZ_CAJE01000026.1 Methanomassiliicoccus luminyensis B10, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/166/775/GCF_000166775.1_genomic.fna.gz	96.79	0.362	96.37-97.20	0.362	0.30-0.41	1	2.110	1340/11815	93.22	NC_014720.1 Caldicellulosiruptor kronotskyensis 2002, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/007/305/GCF_000007305.1_genomic.fna.gz	96.69	0.078	95.12-98.68	0.078	0.04-0.14	1	1.105	219/8127	89.00	NC_003413.1 Pyrococcus furiosus DSM 3638, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/900/760/795/GCA_900760795.1_genomic.fna.gz	96.49	0.538	96.33-96.74	0.538	0.48-0.57	1	1.308	2476/17696	93.85	CAAFAI010000001.1 TPA_asm: Bacteroidaceae bacterium, isolate HGM04771, WGS project CAAFAI010000000 data, contig: SRS021948_34_k99_167, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/003/722/315/GCA_003722315.1_genomic.fna.gz	96.48	1.830	96.34-96.58	1.830	1.68-1.99	2	2.639	2977/10684	95.96	CP033580.1 Thermoanaerobacter ethanolicus JW 200 chromosome, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/000/445/185/GCA_000445185.1_genomic.fna.gz	96.44	1.903	96.32-96.55	1.903	1.74-2.12	2	2.696	3145/11254	95.97	AVAF01000001.1 MAG: Thermoanaerobacter sp. A7A NODE_13_length_6096_cov_691.959473, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/019/655/335/GCF_019655335.1_genomic.fna.gz	96.38	1.225	96.29-96.49	1.225	1.16-1.29	2	2.028	4855/21229	95.35	NZ_BPFD01000001.1 Shewanella hafniensis strain ATCC BAA-1207 sequence001, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/002/945/325/GCF_002945325.1_genomic.fna.gz	96.22	0.553	95.88-96.62	0.553	0.47-0.62	1	1.377	955/7296	93.65	NZ_CP026606.1 Methanococcus maripaludis strain DSM 2067 chromosome, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/019/414/725/GCA_019414725.1_genomic.fna.gz	96.08	0.523	95.85-96.35	0.523	0.47-0.56	1	1.306	1724/14370	93.39	DXLM01000001.1 MAG TPA_asm: Bacteroides sp. isolate HRGM_Genome_0403 HRGM_Genome_0403_1, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/001/883/995/GCF_001883995.1_genomic.fna.gz	96.07	0.034	94.01-97.43	0.034	0.02-0.06	1	1.021	243/23907	86.24	NZ_MACE01000001.1 Bacillus paranthracis strain Mn5 contig1, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/019/414/665/GCA_019414665.1_genomic.fna.gz	96.05	0.570	95.81-96.29	0.570	0.52-0.61	1	1.329	1379/10874	93.56	DXLO01000001.1 MAG TPA_asm: Bacteroides sp. isolate HRGM_Genome_0405 HRGM_Genome_0405_1, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/147/695/GCF_000147695.2_genomic.fna.gz	95.96	1.795	95.80-96.09	1.795	1.64-1.97	2	2.660	2589/11045	95.43	NC_015958.1 Thermoanaerobacter wiegelii Rt8.B1, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/013/009/555/GCF_013009555.1_genomic.fna.gz	95.82	0.526	95.65-96.09	0.526	0.47-0.56	1	1.309	2603/23489	93.15	NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/213/785/GCF_000213785.1_genomic.fna.gz	95.72	0.641	95.33-96.14	0.641	0.53-0.73	1	1.415	820/6613	93.49	NC_015557.1 Hydrogenobaculum sp. 3684, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/002/799/245/GCF_002799245.1_genomic.fna.gz	95.52	0.041	93.51-96.71	0.041	0.03-0.08	1	1.049	203/20624	86.15	NZ_NEQV01000001.1 Stenotrophomonas maltophilia strain EA1 Contig_1_consensus_ctg_5_15_2, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/001/602/925/GCA_001602925.1_genomic.fna.gz	95.48	0.957	95.25-95.66	0.957	0.86-1.05	1	1.588	1483/9968	94.04	LUZT01000020.1 MAG: Chlorobiales bacterium Clorobi_01 Chlorobi_01_contig_10178, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/173/615/GCF_000173615.1_genomic.fna.gz	95.40	0.284	94.58-96.15	0.284	0.22-0.36	1	1.175	372/6341	91.26	NZ_ABZS01000228.1 Sulfurihydrogenibium yellowstonense SS-5 gcontig_18, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/902/459/535/GCF_902459535.1_genomic.fna.gz	95.37	0.237	94.98-95.71	0.237	0.21-0.27	1	1.126	1752/35370	90.76	NZ_LR699553.1 Paraburkholderia dioscoreae isolate PDMSB31 chromosome I
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/020/161/265/GCA_020161265.1_genomic.fna.gz	95.29	1.285	95.16-95.41	1.285	1.20-1.38	2	2.085	4233/25846	94.33	JAIUOC010000010.1 MAG: Chloroflexi bacterium isolate HERP1 spades-bin.75~NODE_121_length_326074_cov_3.61005, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/012/843/875/GCF_012843875.1_genomic.fna.gz	95.12	0.489	94.66-95.51	0.489	0.42-0.57	1	1.272	1024/12259	92.30	NZ_JABAFY010000001.1 Desulfovibrio piger strain PG-251-APC-1 Contig_1, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/014/896/455/GCA_014896455.1_genomic.fna.gz	95.03	1.950	94.93-95.25	1.950	1.69-1.99	2	2.698	1663/9328	94.59	JADBKJ010000001.1 MAG: Thermoanaerobacter sp. isolate Bu09 bin.9_contig1, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/905/200/945/GCA_905200945.1_genomic.fna.gz	94.99	0.540	94.66-95.35	0.540	0.48-0.59	1	1.309	1033/11969	92.40	CAJKMG010000001.1 TPA_asm: uncultured Akkermansia sp. isolate ERR414247-bin.14 genome assembly, contig: NODE_1_length_362532_cov_11.812060, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/742/895/GCF_000742895.1_genomic.fna.gz	94.98	0.036	92.06-95.49	0.036	0.03-0.08	1	1.018	171/23546	85.31	NZ_CP007666.1 Bacillus anthracis str. Vollum chromosome, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/020/721/225/GCA_020721225.1_genomic.fna.gz	94.96	1.481	94.82-95.15	1.481	1.32-1.60	2	2.150	1789/11372	94.21	DYNE01000043.1 MAG TPA_asm: Pelodictyon luteolum isolate SulCav_FS08_3_51_27 SulCav_FS08-3_1039_length_19552_cov_13.561061, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/009/729/055/GCF_009729055.1_genomic.fna.gz	94.96	0.060	92.86-96.10	0.060	0.04-0.10	1	1.029	138/11577	86.69	NZ_CP045484.1 Sulfurisphaera ohwakuensis strain TA-1 chromosome, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/900/129/115/GCF_900129115.1_genomic.fna.gz	94.94	1.805	94.80-95.08	1.805	1.60-1.96	2	2.713	1711/10121	94.43	NZ_FQUR01000036.1 Thermoanaerobacter uzonensis DSM 18761, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/024/181/605/GCF_024181605.1_genomic.fna.gz	94.81	0.260	94.12-95.34	0.260	0.21-0.32	1	1.149	531/11885	90.46	NZ_CP054477.1 Treponema denticola strain OMZ 823 chromosome, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/001/509/575/GCF_001509575.1_genomic.fna.gz	94.71	1.507	94.56-94.92	1.507	1.34-1.68	2	2.219	1302/8917	93.98	NZ_LMBR01000001.1 Chlorobium limicola strain Frasassi contig-124_0, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/900/755/095/GCA_900755095.1_genomic.fna.gz	94.61	0.206	93.86-95.34	0.206	0.16-0.26	1	1.119	530/15512	89.68	CAAEFE010000001.1 TPA_asm: uncultured Bacteroides sp., isolate HGM04659, WGS project CAAEFE010000000 data, contig: ERS473029_19_k99_64, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	94.60	0.052	92.99-96.26	0.052	0.03-0.09	1	1.025	197/21223	85.99	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome
